lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,modulation_null_count,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_mean_dlambda_dv_nm_per_v,modulation_dlambda_dv_by_null_nm_per_v,modulation_null_wavelengths_0v_nm,modulation_r2_by_null,vpi_mean_v,vpi_min_v,vpi_max_v,vpi_by_null_v,source_file
HY202103,D08,DCM_LMZC,-1,-1,20190712_113254,MZMCTE_LULAB_450_500,-2.0,1.080882e-12,1.944091e-11,0.005356431,1530.00260145,1579.99253611,6065,-54.07664781200226,-9.158803963997935,-18.836164424592667,44.917843848004324,1534.22159633,1555.57023885,4,3.54422,0.223348,-0.223348,-0.234777;-0.228815;-0.205944;-0.223856,1533.7833;1547.8328;1562.1827;1576.7916,0.954572;0.985266;0.974881;0.952893,7.95347,7.54806,8.60481,7.548059;7.744714;8.604810;7.916283,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-1,-1,20190712_113254,MZMCTE_LULAB_450_500,-1.5,1.080882e-12,1.944091e-11,0.005356431,1530.0008466,1579.99938594,6066,-52.104981321115,-9.130440079117697,-18.866015812105235,42.9745412419973,1534.11555347,1555.13149199,4,3.54422,0.223348,-0.223348,-0.234777;-0.228815;-0.205944;-0.223856,1533.7833;1547.8328;1562.1827;1576.7916,0.954572;0.985266;0.974881;0.952893,7.95347,7.54806,8.60481,7.548059;7.744714;8.604810;7.916283,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-1,-1,20190712_113254,MZMCTE_LULAB_450_500,-1.0,1.080882e-12,1.944091e-11,0.005356431,1530.00164044,1579.99165186,6065,-53.193369910387645,-9.131277784945855,-18.877403636613092,44.062092125441794,1534.06016526,1555.16528171,4,3.54422,0.223348,-0.223348,-0.234777;-0.228815;-0.205944;-0.223856,1533.7833;1547.8328;1562.1827;1576.7916,0.954572;0.985266;0.974881;0.952893,7.95347,7.54806,8.60481,7.548059;7.744714;8.604810;7.916283,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-1,-1,20190712_113254,MZMCTE_LULAB_450_500,-0.5,1.080882e-12,1.944091e-11,0.005356431,1530.00503851,1579.99505304,6065,-53.174143298003976,-9.164733163409355,-18.863279684223887,44.00941013459462,1533.91908097,1555.08612011,4,3.54422,0.223348,-0.223348,-0.234777;-0.228815;-0.205944;-0.223856,1533.7833;1547.8328;1562.1827;1576.7916,0.954572;0.985266;0.974881;0.952893,7.95347,7.54806,8.60481,7.548059;7.744714;8.604810;7.916283,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-1,-1,20190712_113254,MZMCTE_LULAB_450_500,0.0,1.080882e-12,1.944091e-11,0.005356431,1530.0063796,1579.99657643,6065,-54.45418920472296,-9.19758116883078,-18.945098964825593,45.25660803589218,1533.83225348,1554.95590799,4,3.54422,0.223348,-0.223348,-0.234777;-0.228815;-0.205944;-0.223856,1533.7833;1547.8328;1562.1827;1576.7916,0.954572;0.985266;0.974881;0.952893,7.95347,7.54806,8.60481,7.548059;7.744714;8.604810;7.916283,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-1,-1,20190712_113254,MZMCTE_LULAB_450_500,0.5,1.080882e-12,1.944091e-11,0.005356431,1530.00090975,1579.99928751,6066,-52.36473165309475,-9.194020800650364,-18.93409271390398,43.17071085244439,1533.59406186,1554.8017151,4,3.54422,0.223348,-0.223348,-0.234777;-0.228815;-0.205944;-0.223856,1533.7833;1547.8328;1562.1827;1576.7916,0.954572;0.985266;0.974881;0.952893,7.95347,7.54806,8.60481,7.548059;7.744714;8.604810;7.916283,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,-1,20190712_113254,MZMCTE_LULAB_450_500,-2.0,4.894235e-10,2.31547e-11,0.004992432,1530.00165815,1579.99214165,6065,-54.229263219017625,-10.23961531913336,-19.28919152291658,43.98964789988426,1530.16934423,1551.5042552,3,8.83297,0.219773,-0.219773,-0.219732;-0.200560;-0.239028,1543.7869;1557.8772;1572.4954,0.995226;0.988044;0.993567,20.199,18.4769,22.0208,20.099387;22.020781;18.476867,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,-1,20190712_113254,MZMCTE_LULAB_450_500,-1.5,4.894235e-10,2.31547e-11,0.004992432,1530.00372416,1579.99375309,6065,-57.556268494309,-10.259823681282791,-19.274204243378385,47.29644481302621,1530.07558297,1551.34991192,3,8.83297,0.219773,-0.219773,-0.219732;-0.200560;-0.239028,1543.7869;1557.8772;1572.4954,0.995226;0.988044;0.993567,20.199,18.4769,22.0208,20.099387;22.020781;18.476867,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,-1,20190712_113254,MZMCTE_LULAB_450_500,-1.0,4.894235e-10,2.31547e-11,0.004992432,1530.0012903,1579.99968624,6066,-53.12490866585557,-10.292252343758552,-19.172255114880198,42.83265632209702,1572.74671425,1551.50343648,3,8.83297,0.219773,-0.219773,-0.219732;-0.200560;-0.239028,1543.7869;1557.8772;1572.4954,0.995226;0.988044;0.993567,20.199,18.4769,22.0208,20.099387;22.020781;18.476867,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,-1,20190712_113254,MZMCTE_LULAB_450_500,-0.5,4.894235e-10,2.31547e-11,0.004992432,1530.00279408,1579.99317893,6065,-50.9842144468409,-10.294046477168385,-19.125255547106285,40.690167969672515,1572.6389148,1551.02079423,3,8.83297,0.219773,-0.219773,-0.219732;-0.200560;-0.239028,1543.7869;1557.8772;1572.4954,0.995226;0.988044;0.993567,20.199,18.4769,22.0208,20.099387;22.020781;18.476867,"data\HY202103\D08\20190712_113254\HY202103_D08_(-1,-3)_LION1_DCM_LMZC.xml"
