lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,modulation_null_count,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_mean_dlambda_dv_nm_per_v,modulation_dlambda_dv_by_null_nm_per_v,modulation_null_wavelengths_0v_nm,modulation_r2_by_null,vpi_mean_v,vpi_min_v,vpi_max_v,vpi_by_null_v,source_file
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,-2.0,5.312546e-08,1.163243e-10,0.006792969,1279.9814,1339.9904,6000,-43.26192092895508,-5.904671669006348,-16.884570585250856,37.35724925994873,1333.1502,1298.0326,6,4.31084,0.162597,-0.162597,-0.157606;-0.132857;-0.166269;-0.158646;-0.182343;-0.177863,1283.4443;1292.9014;1302.6651;1312.5137;1322.5181;1332.7871,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,13.3981,11.8207,16.2236,13.676041;16.223608;12.963498;13.586388;11.820711;12.118450,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,-1.5,5.312546e-08,1.163243e-10,0.006792969,1279.9814,1339.9935,6000,-43.315895080566406,-5.9007344245910645,-16.879064012845358,37.41516065597534,1333.0472,1298.0331,6,4.31084,0.162597,-0.162597,-0.157606;-0.132857;-0.166269;-0.158646;-0.182343;-0.177863,1283.4443;1292.9014;1302.6651;1312.5137;1322.5181;1332.7871,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,13.3981,11.8207,16.2236,13.676041;16.223608;12.963498;13.586388;11.820711;12.118450,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,-1.0,5.312546e-08,1.163243e-10,0.006792969,1279.9819,1339.9929,6000,-43.11532211303711,-5.900444507598877,-16.91777132145564,37.21487760543823,1332.9689,1298.0339,6,4.31084,0.162597,-0.162597,-0.157606;-0.132857;-0.166269;-0.158646;-0.182343;-0.177863,1283.4443;1292.9014;1302.6651;1312.5137;1322.5181;1332.7871,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,13.3981,11.8207,16.2236,13.676041;16.223608;12.963498;13.586388;11.820711;12.118450,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,-0.5,5.312546e-08,1.163243e-10,0.006792969,1279.9821,1339.9907,6000,-43.066062927246094,-5.933920383453369,-16.94079528816541,37.132142543792725,1332.8673,1298.0313,6,4.31084,0.162597,-0.162597,-0.157606;-0.132857;-0.166269;-0.158646;-0.182343;-0.177863,1283.4443;1292.9014;1302.6651;1312.5137;1322.5181;1332.7871,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,13.3981,11.8207,16.2236,13.676041;16.223608;12.963498;13.586388;11.820711;12.118450,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,0.0,5.312546e-08,1.163243e-10,0.006792969,1279.9819,1339.9925,6000,-43.13043975830078,-5.967300891876221,-16.94294150185585,37.16313886642456,1332.7761,1298.0309,6,4.31084,0.162597,-0.162597,-0.157606;-0.132857;-0.166269;-0.158646;-0.182343;-0.177863,1283.4443;1292.9014;1302.6651;1312.5137;1322.5181;1332.7871,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,13.3981,11.8207,16.2236,13.676041;16.223608;12.963498;13.586388;11.820711;12.118450,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-1,20190526_082853,MZMOTE_LULAB_380_500,0.5,5.312546e-08,1.163243e-10,0.006792969,1279.9828,1339.9939,6000,-43.252201080322266,-6.001553058624268,-16.964780264377595,37.250648021698,1332.7092,1298.0321,6,4.31084,0.162597,-0.162597,-0.157606;-0.132857;-0.166269;-0.158646;-0.182343;-0.177863,1283.4443;1292.9014;1302.6651;1312.5137;1322.5181;1332.7871,0.976884;0.830228;0.988636;0.985246;0.982289;0.996851,13.3981,11.8207,16.2236,13.676041;16.223608;12.963498;13.586388;11.820711;12.118450,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-1,20190526_082853,MZMOTE_LULAB_380_500,-2.0,6.287032e-08,1.272594e-10,0.006482825,1279.9824,1339.9914,6000,-44.21455001831055,-6.547540664672852,-18.00319018824895,37.667009353637695,1339.0852,1303.4814,6,5.21627,0.188102,-0.188102,-0.207971;-0.172943;-0.165234;-0.179783;-0.183303;-0.219377,1289.0721;1298.8020;1308.4595;1318.5066;1328.4828;1338.7460,0.987185;0.991313;0.977687;0.946025;0.982742;0.775551,14.0051,11.8888,15.7845,12.540825;15.080897;15.784456;14.507130;14.228547;11.888811,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-1,20190526_082853,MZMOTE_LULAB_380_500,-1.5,6.287032e-08,1.272594e-10,0.006482825,1279.9821,1339.9911,6000,-44.214561462402344,-6.512956619262695,-17.982670851310093,37.70160484313965,1339.0858,1303.4816,6,5.21627,0.188102,-0.188102,-0.207971;-0.172943;-0.165234;-0.179783;-0.183303;-0.219377,1289.0721;1298.8020;1308.4595;1318.5066;1328.4828;1338.7460,0.987185;0.991313;0.977687;0.946025;0.982742;0.775551,14.0051,11.8888,15.7845,12.540825;15.080897;15.784456;14.507130;14.228547;11.888811,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-1,20190526_082853,MZMOTE_LULAB_380_500,-1.0,6.287032e-08,1.272594e-10,0.006482825,1279.9832,1339.9939,6000,-44.14073944091797,-6.507079124450684,-17.974406667470934,37.633660316467285,1339.0765,1303.4816,6,5.21627,0.188102,-0.188102,-0.207971;-0.172943;-0.165234;-0.179783;-0.183303;-0.219377,1289.0721;1298.8020;1308.4595;1318.5066;1328.4828;1338.7460,0.987185;0.991313;0.977687;0.946025;0.982742;0.775551,14.0051,11.8888,15.7845,12.540825;15.080897;15.784456;14.507130;14.228547;11.888811,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-1,20190526_082853,MZMOTE_LULAB_380_500,-0.5,6.287032e-08,1.272594e-10,0.006482825,1279.983,1339.9951,6000,-44.02480697631836,-6.512340068817139,-17.961232690970103,37.51246690750122,1338.8262,1303.4813,6,5.21627,0.188102,-0.188102,-0.207971;-0.172943;-0.165234;-0.179783;-0.183303;-0.219377,1289.0721;1298.8020;1308.4595;1318.5066;1328.4828;1338.7460,0.987185;0.991313;0.977687;0.946025;0.982742;0.775551,14.0051,11.8888,15.7845,12.540825;15.080897;15.784456;14.507130;14.228547;11.888811,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,-3)_LION1_DCM_LMZO.xml"
