lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_a,extinction_ratio_db,vpi_at_dc_bias_v,source_file
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-2.0,6.054034e-07,37.226505756378174,20.6043,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-1.5,4.555058e-07,37.08418273925781,17.9432,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-1.0,3.047158e-07,37.03879117965698,18.4976,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-0.5,1.528518e-07,37.01524543762207,15.2365,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,0.0,1.488778e-10,36.96813344955444,13.3994,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,0.5,1.556145e-07,37.11298894882202,12.1339,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-3,20190603_225101,MZMOTE_LULAB_380_500,-2.0,5.953915e-07,38.06595277786255,25.4534,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-3,20190603_225101,MZMOTE_LULAB_380_500,-1.5,4.48096e-07,38.068400859832764,15.5466,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-3,20190603_225101,MZMOTE_LULAB_380_500,-1.0,2.998289e-07,38.21522378921509,13.9729,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-3,20190603_225101,MZMOTE_LULAB_380_500,-0.5,1.504194e-07,38.026809215545654,13.7685,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-3,20190603_225101,MZMOTE_LULAB_380_500,0.0,1.487521e-10,37.98831605911255,14.6074,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-3,20190603_225101,MZMOTE_LULAB_380_500,0.5,1.532014e-07,37.93240976333618,17.8245,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,3,20190603_225101,MZMOTE_LULAB_380_500,-2.0,4.60699e-07,37.50297927856445,26.6146,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,3,20190603_225101,MZMOTE_LULAB_380_500,-1.5,3.47502e-07,37.43393421173096,21.9623,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,3,20190603_225101,MZMOTE_LULAB_380_500,-1.0,2.330585e-07,37.417320728302,19.4634,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,3,20190603_225101,MZMOTE_LULAB_380_500,-0.5,1.171746e-07,37.309507846832275,18.0659,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,3,20190603_225101,MZMOTE_LULAB_380_500,0.0,1.417555e-10,37.45396614074707,17.5264,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,3,20190603_225101,MZMOTE_LULAB_380_500,0.5,1.202316e-07,37.13508462905884,18.0723,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,3)_LION1_DCM_LMZO.xml"
