lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,modulation_null_count,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_mean_dlambda_dv_nm_per_v,modulation_dlambda_dv_by_null_nm_per_v,modulation_null_wavelengths_0v_nm,modulation_r2_by_null,vpi_mean_v,vpi_min_v,vpi_max_v,vpi_by_null_v,source_file
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-2.0,1.17707e-10,1.269242e-10,1.333762e-10,1279.9817,1339.9911,6000,-43.088069915771484,-5.978619575500488,-16.919292065461477,37.109450340270996,1332.7652,1297.5665,6,4.40828,0.00203429,0.00106857,0.005457;0.000000;-0.000571;-0.000629;-0.001697;0.003851,1283.4624;1292.8992;1302.7739;1312.6156;1322.5962;1332.7793,0.714273;0.000000;0.009524;0.009524;0.085714;0.245510,1.87296e+12,403.9,1.12378e+13,403.899796;11237779840908.785156;3857.243058;3506.584599;1298.735036;572.291255,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.5,1.17707e-10,1.269242e-10,1.333762e-10,1279.9818,1339.9913,6000,-43.17188262939453,-5.972321033477783,-16.936006235281628,37.19956159591675,1332.7828,1297.5636,6,4.40828,0.00203429,0.00106857,0.005457;0.000000;-0.000571;-0.000629;-0.001697;0.003851,1283.4624;1292.8992;1302.7739;1312.6156;1322.5962;1332.7793,0.714273;0.000000;0.009524;0.009524;0.085714;0.245510,1.87296e+12,403.9,1.12378e+13,403.899796;11237779840908.785156;3857.243058;3506.584599;1298.735036;572.291255,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.0,1.17707e-10,1.269242e-10,1.333762e-10,1279.9821,1339.9905,6000,-43.09074783325195,-5.967703342437744,-16.929602536678313,37.12304449081421,1332.774,1297.5629,6,4.40828,0.00203429,0.00106857,0.005457;0.000000;-0.000571;-0.000629;-0.001697;0.003851,1283.4624;1292.8992;1302.7739;1312.6156;1322.5962;1332.7793,0.714273;0.000000;0.009524;0.009524;0.085714;0.245510,1.87296e+12,403.9,1.12378e+13,403.899796;11237779840908.785156;3857.243058;3506.584599;1298.735036;572.291255,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,-0.5,1.17707e-10,1.269242e-10,1.333762e-10,1279.9821,1339.9947,6000,-43.038368225097656,-5.973063945770264,-16.927767154455186,37.06530427932739,1332.7922,1297.5603,6,4.40828,0.00203429,0.00106857,0.005457;0.000000;-0.000571;-0.000629;-0.001697;0.003851,1283.4624;1292.8992;1302.7739;1312.6156;1322.5962;1332.7793,0.714273;0.000000;0.009524;0.009524;0.085714;0.245510,1.87296e+12,403.9,1.12378e+13,403.899796;11237779840908.785156;3857.243058;3506.584599;1298.735036;572.291255,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,0.0,1.17707e-10,1.269242e-10,1.333762e-10,1279.9816,1339.9924,6000,-43.14933776855469,-5.977412223815918,-16.886995135943096,37.17192554473877,1332.7736,1297.4322,6,4.40828,0.00203429,0.00106857,0.005457;0.000000;-0.000571;-0.000629;-0.001697;0.003851,1283.4624;1292.8992;1302.7739;1312.6156;1322.5962;1332.7793,0.714273;0.000000;0.009524;0.009524;0.085714;0.245510,1.87296e+12,403.9,1.12378e+13,403.899796;11237779840908.785156;3857.243058;3506.584599;1298.735036;572.291255,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190531_151815,MZMOTE_LULAB_380_500,0.5,1.17707e-10,1.269242e-10,1.333762e-10,1279.9825,1339.9903,6000,-43.07388687133789,-5.975316047668457,-16.89275283940633,37.098570823669434,1332.7823,1297.5612,6,4.40828,0.00203429,0.00106857,0.005457;0.000000;-0.000571;-0.000629;-0.001697;0.003851,1283.4624;1292.8992;1302.7739;1312.6156;1322.5962;1332.7793,0.714273;0.000000;0.009524;0.009524;0.085714;0.245510,1.87296e+12,403.9,1.12378e+13,403.899796;11237779840908.785156;3857.243058;3506.584599;1298.735036;572.291255,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-2.0,1.184192e-10,1.304854e-10,1.283487e-10,1279.9816,1339.9876,6000,-44.33479690551758,-6.569557189941406,-18.21744540262222,37.76523971557617,1337.5815,1302.3277,6,3.39907,0.00508476,0.00344667,-0.002171;-0.000000;-0.001086;-0.001657;0.022040;0.003554,1288.1093;1297.8123;1307.3962;1317.3308;1327.4452;1337.5813,0.171429;0.500000;0.042857;0.017965;0.743816;0.017480,1.93276e+12,77.1113,1.15966e+13,782.679825;11596573508847.214844;1565.359649;1025.580460;77.111313;478.164523,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.5,1.184192e-10,1.304854e-10,1.283487e-10,1279.9817,1339.9902,6000,-44.30330276489258,-6.553853511810303,-18.211500639359155,37.749449253082275,1337.5719,1302.2689,6,3.39907,0.00508476,0.00344667,-0.002171;-0.000000;-0.001086;-0.001657;0.022040;0.003554,1288.1093;1297.8123;1307.3962;1317.3308;1327.4452;1337.5813,0.171429;0.500000;0.042857;0.017965;0.743816;0.017480,1.93276e+12,77.1113,1.15966e+13,782.679825;11596573508847.214844;1565.359649;1025.580460;77.111313;478.164523,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-1.0,1.184192e-10,1.304854e-10,1.283487e-10,1279.9814,1339.9895,6000,-44.258445739746094,-6.577085971832275,-18.206132513443627,37.68135976791382,1337.5812,1302.3275,6,3.39907,0.00508476,0.00344667,-0.002171;-0.000000;-0.001086;-0.001657;0.022040;0.003554,1288.1093;1297.8123;1307.3962;1317.3308;1327.4452;1337.5813,0.171429;0.500000;0.042857;0.017965;0.743816;0.017480,1.93276e+12,77.1113,1.15966e+13,782.679825;11596573508847.214844;1565.359649;1025.580460;77.111313;478.164523,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190531_151815,MZMOTE_LULAB_380_500,-0.5,1.184192e-10,1.304854e-10,1.283487e-10,1279.982,1339.99,6000,-44.31053924560547,-6.57411527633667,-18.192748490015667,37.7364239692688,1337.5434,1302.3272,6,3.39907,0.00508476,0.00344667,-0.002171;-0.000000;-0.001086;-0.001657;0.022040;0.003554,1288.1093;1297.8123;1307.3962;1317.3308;1327.4452;1337.5813,0.171429;0.500000;0.042857;0.017965;0.743816;0.017480,1.93276e+12,77.1113,1.15966e+13,782.679825;11596573508847.214844;1565.359649;1025.580460;77.111313;478.164523,"data\HY202103\D24\20190531_151815\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
