lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,source_file
HY202103,D08,DCM_LMZO,3,-1,20190526_082853,MZMOTE_LULAB_380_500,-1.0,5.356805e-08,1.244943e-10,0.006656053,1279.9828,1339.9919,6000,-45.17803192138672,-7.294558525085449,-18.838025640567142,37.88347339630127,1337.765,1302.7596,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,3,-1,20190526_082853,MZMOTE_LULAB_380_500,-0.5,5.356805e-08,1.244943e-10,0.006656053,1279.9831,1339.9913,6000,-45.155372619628906,-7.343742847442627,-18.822940761089324,37.81162977218628,1337.6747,1302.739,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,3,-1,20190526_082853,MZMOTE_LULAB_380_500,0.0,5.356805e-08,1.244943e-10,0.006656053,1279.9826,1339.9904,6000,-45.27248001098633,-7.3531646728515625,-18.836810380379358,37.919315338134766,1337.6534,1302.1766,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,3,-1,20190526_082853,MZMOTE_LULAB_380_500,0.5,5.356805e-08,1.244943e-10,0.006656053,1279.9825,1339.992,6000,-45.238372802734375,-7.310088634490967,-18.85778147570292,37.92828416824341,1337.4564,1302.1756,"data\HY202103\D08\20190526_082853\HY202103_D08_(-1,3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,-2.0,6.76181e-08,1.262958e-10,0.006389174,1279.9827,1339.9886,6000,-44.71141815185547,-6.752494812011719,-18.33058496236801,37.95892333984375,1338.2661,1293.9793,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,-1.5,6.76181e-08,1.262958e-10,0.006389174,1279.9828,1339.9918,6000,-44.80190658569336,-6.771684646606445,-18.351691401243208,38.030221939086914,1338.2762,1293.9596,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,-1.0,6.76181e-08,1.262958e-10,0.006389174,1279.9831,1339.9906,6000,-44.72346115112305,-6.805017948150635,-18.36031166124344,37.91844320297241,1338.2358,1293.9604,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,-0.5,6.76181e-08,1.262958e-10,0.006389174,1279.9835,1339.9927,6000,-44.52934646606445,-6.82380485534668,-18.335319529771805,37.70554161071777,1338.1433,1293.8898,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,0.0,6.76181e-08,1.262958e-10,0.006389174,1279.9831,1339.9938,6000,-44.52128982543945,-6.842343807220459,-18.316097684144975,37.678946018218994,1337.9144,1293.8683,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,-3,20190526_082853,MZMOTE_LULAB_380_500,0.5,6.76181e-08,1.262958e-10,0.006389174,1279.9832,1339.9936,6000,-44.49516677856445,-6.829190731048584,-18.319219477176667,37.66597604751587,1337.8232,1293.2596,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,-3)_LION1_DCM_LMZO.xml"
