lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_a,extinction_ratio_db,vpi_at_dc_bias_v,source_file
HY202103,D08,DCM_LMZC,-3,-3,20190712_113254,MZMCTE_LULAB_450_500,0.0,9.217741e-12,47.53061695441524,10.6815,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,-3)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,-3,20190712_113254,MZMCTE_LULAB_450_500,0.5,2.498699e-09,47.757782388604056,9.82067,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,-3)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,0,20190712_113254,MZMCTE_LULAB_450_500,-2.0,1.127307e-09,41.07255586614792,14.0669,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,0,20190712_113254,MZMCTE_LULAB_450_500,-1.5,6.014186e-10,39.190372711629074,12.9162,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,0,20190712_113254,MZMCTE_LULAB_450_500,-1.0,2.785752e-10,39.69179671005661,11.9446,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,0,20190712_113254,MZMCTE_LULAB_450_500,-0.5,9.147005e-11,41.909841360285185,11.1126,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,0,20190712_113254,MZMCTE_LULAB_450_500,0.0,2.040064e-11,41.87068619140021,10.3914,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,0,20190712_113254,MZMCTE_LULAB_450_500,0.5,3.080914e-09,40.538685634390575,9.76007,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,0)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,2,20190712_113254,MZMCTE_LULAB_450_500,-2.0,3.803351e-09,42.67523392217817,7.49922,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,2)_LION1_DCM_LMZC.xml"
HY202103,D08,DCM_LMZC,-3,2,20190712_113254,MZMCTE_LULAB_450_500,-1.5,2.830858e-09,44.20128852310732,6.76264,"data\HY202103\D08\20190712_113254\HY202103_D08_(-3,2)_LION1_DCM_LMZC.xml"
