lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,modulation_null_count,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_mean_dlambda_dv_nm_per_v,modulation_dlambda_dv_by_null_nm_per_v,modulation_null_wavelengths_0v_nm,modulation_r2_by_null,source_file
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-2.0,3.047158e-07,1.488778e-10,0.004221569,1279.9827,1340.0008,6000,-43.207279205322266,-5.980773448944092,-16.887750634034475,37.226505756378174,1332.9124,1298.1837,6,3.60678,0.11237,-0.11237,-0.114406;-0.116629;-0.142811;-0.110851;-0.077800;-0.111726,1283.3739;1292.9034;1302.6945;1312.5009;1322.5414;1332.6808,0.990688;0.855851;0.917576;0.860623;0.793544;0.897741,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-1.5,3.047158e-07,1.488778e-10,0.004221569,1279.9825,1340.0012,6000,-43.06272506713867,-5.978542327880859,-16.901936912695568,37.08418273925781,1332.8304,1298.1297,6,3.60678,0.11237,-0.11237,-0.114406;-0.116629;-0.142811;-0.110851;-0.077800;-0.111726,1283.3739;1292.9034;1302.6945;1312.5009;1322.5414;1332.6808,0.990688;0.855851;0.917576;0.860623;0.793544;0.897741,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-1.0,3.047158e-07,1.488778e-10,0.004221569,1279.983,1340.0018,6000,-43.07035446166992,-6.0315632820129395,-16.92409286729495,37.03879117965698,1332.7707,1298.0802,6,3.60678,0.11237,-0.11237,-0.114406;-0.116629;-0.142811;-0.110851;-0.077800;-0.111726,1283.3739;1292.9034;1302.6945;1312.5009;1322.5414;1332.6808,0.990688;0.855851;0.917576;0.860623;0.793544;0.897741,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,-0.5,3.047158e-07,1.488778e-10,0.004221569,1279.9832,1340.0047,6000,-43.049102783203125,-6.033857345581055,-16.95022522306442,37.01524543762207,1332.7643,1297.4669,6,3.60678,0.11237,-0.11237,-0.114406;-0.116629;-0.142811;-0.110851;-0.077800;-0.111726,1283.3739;1292.9034;1302.6945;1312.5009;1322.5414;1332.6808,0.990688;0.855851;0.917576;0.860623;0.793544;0.897741,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,0.0,3.047158e-07,1.488778e-10,0.004221569,1279.9835,1340.0055,6000,-42.95900344848633,-5.990869998931885,-16.977738720496497,36.96813344955444,1332.7354,1297.4679,6,3.60678,0.11237,-0.11237,-0.114406;-0.116629;-0.142811;-0.110851;-0.077800;-0.111726,1283.3739;1292.9034;1302.6945;1312.5009;1322.5414;1332.6808,0.990688;0.855851;0.917576;0.860623;0.793544;0.897741,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-1,-1,20190603_225101,MZMOTE_LULAB_380_500,0.5,3.047158e-07,1.488778e-10,0.004221569,1279.9841,1340.0074,6000,-43.1240348815918,-6.011045932769775,-16.98085902539889,37.11298894882202,1332.5748,1297.4672,6,3.60678,0.11237,-0.11237,-0.114406;-0.116629;-0.142811;-0.110851;-0.077800;-0.111726,1283.3739;1292.9034;1302.6945;1312.5009;1322.5414;1332.6808,0.990688;0.855851;0.917576;0.860623;0.793544;0.897741,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190603_225101,MZMOTE_LULAB_380_500,-2.0,2.998289e-07,1.487521e-10,0.002944735,1279.9828,1340.0048,6000,-44.4693603515625,-6.403407573699951,-18.662254613320034,38.06595277786255,1337.7523,1293.3543,6,3.38377,0.124271,-0.124271,-0.130074;-0.135451;-0.109789;-0.123817;-0.107131;-0.139366,1288.0293;1297.6645;1307.4084;1317.2845;1327.4030;1337.4920,0.986688;0.837872;0.868149;0.992689;0.967345;0.787851,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190603_225101,MZMOTE_LULAB_380_500,-1.5,2.998289e-07,1.487521e-10,0.002944735,1279.9831,1340.0039,6000,-44.469642639160156,-6.401241779327393,-18.6581381688118,38.068400859832764,1337.6598,1293.3237,6,3.38377,0.124271,-0.124271,-0.130074;-0.135451;-0.109789;-0.123817;-0.107131;-0.139366,1288.0293;1297.6645;1307.4084;1317.2845;1327.4030;1337.4920,0.986688;0.837872;0.868149;0.992689;0.967345;0.787851,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190603_225101,MZMOTE_LULAB_380_500,-1.0,2.998289e-07,1.487521e-10,0.002944735,1279.9828,1340.0031,6000,-44.63620376586914,-6.420979976654053,-18.670600213766097,38.21522378921509,1337.712,1293.3234,6,3.38377,0.124271,-0.124271,-0.130074;-0.135451;-0.109789;-0.123817;-0.107131;-0.139366,1288.0293;1297.6645;1307.4084;1317.2845;1327.4030;1337.4920,0.986688;0.837872;0.868149;0.992689;0.967345;0.787851,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D24,DCM_LMZO,-3,-1,20190603_225101,MZMOTE_LULAB_380_500,-0.5,2.998289e-07,1.487521e-10,0.002944735,1279.9835,1340.0026,6000,-44.48149490356445,-6.454685688018799,-18.63452055478096,38.026809215545654,1337.5212,1293.3528,6,3.38377,0.124271,-0.124271,-0.130074;-0.135451;-0.109789;-0.123817;-0.107131;-0.139366,1288.0293;1297.6645;1307.4084;1317.2845;1327.4030;1337.4920,0.986688;0.837872;0.868149;0.992689;0.967345;0.787851,"data\HY202103\D24\20190603_225101\HY202103_D24_(-1,-3)_LION1_DCM_LMZO.xml"
