lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_a,extinction_ratio_db,vpi_at_dc_bias_v,source_file
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,-2.0,3.286373e-08,38.244102478027344,18.8874,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,-1.5,3.079262e-08,36.976250648498535,14.4152,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,-1.0,2.603237e-08,37.65372085571289,11.7538,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,-0.5,1.573456e-08,58.59050178527832,9.95994,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,0.0,3.873178e-11,58.531832695007324,8.65858,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-1,20190715_190855,MZMCTE_LULAB_450_500,0.5,2.429246e-08,46.93235206604004,7.66694,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-3,20190715_190855,MZMCTE_LULAB_450_500,-2.0,7.319194e-08,46.942298889160156,45.7404,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-3,20190715_190855,MZMCTE_LULAB_450_500,-1.5,6.403965e-08,43.68025016784668,37.1369,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-3,20190715_190855,MZMCTE_LULAB_450_500,-1.0,4.890819e-08,43.8615665435791,31.4226,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-3,20190715_190855,MZMCTE_LULAB_450_500,-0.5,2.750352e-08,44.47566318511963,27.3044,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-3,20190715_190855,MZMCTE_LULAB_450_500,0.0,2.824484e-11,43.20891284942627,24.1767,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,-3,20190715_190855,MZMCTE_LULAB_450_500,0.5,3.502013e-08,47.223097801208496,21.7116,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,3,20190715_190855,MZMCTE_LULAB_450_500,-2.0,6.794039e-08,45.116817474365234,25.0282,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,3,20190715_190855,MZMCTE_LULAB_450_500,-1.5,5.976054e-08,44.24488925933838,21.2021,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,3,20190715_190855,MZMCTE_LULAB_450_500,-1.0,4.591942e-08,41.73380088806152,18.5887,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,3,20190715_190855,MZMCTE_LULAB_450_500,-0.5,2.597385e-08,43.073384284973145,16.6817,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,3,20190715_190855,MZMCTE_LULAB_450_500,0.0,3.831555e-11,45.2872838973999,15.2245,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-1,3,20190715_190855,MZMCTE_LULAB_450_500,0.5,3.338611e-08,40.7581672668457,14.0725,"data\HY202103\D07\20190715_190855\HY202103_D07_(-1,3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-3,-3,20190715_190855,MZMCTE_LULAB_450_500,-2.0,8.567662e-08,47.38686656951904,18.8927,"data\HY202103\D07\20190715_190855\HY202103_D07_(-3,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-3,-3,20190715_190855,MZMCTE_LULAB_450_500,-1.5,7.312505e-08,45.023478507995605,16.9283,"data\HY202103\D07\20190715_190855\HY202103_D07_(-3,-3)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-3,-3,20190715_190855,MZMCTE_LULAB_450_500,-1.0,5.465495e-08,42.99041175842285,15.3775,"data\HY202103\D07\20190715_190855\HY202103_D07_(-3,-3)_LION1_DCM_LMZC.xml"
