Lot,Wafer,Mask,Name,Row,Column,I at -1V [A],I at 1V [A]
P184640,D23,GORILLA5,MZMOTE_LULAB_380_500,0,,1.709376e-07,0.003800664
P184640,D23,GORILLA5,MZMOTE_LULAB_380_500,2,,1.885348e-07,0.004698496
P184640,D23,GORILLA5,MZMOTE_LULAB_380_500,2,,1.556117e-07,0.004886194
P184640,D23,GORILLA5,MZMOTE_LULAB_380_500,2,,1.302277e-07,0.004633154
P184640,D23,GORILLA5,MZMOTE_LULAB_380_500,3,,1.358143e-07,0.004295274
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-1,,1.17707e-10,1.333762e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-1,,1.184192e-10,1.283487e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-1,,1.196762e-10,1.271337e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-3,,1.205979e-10,1.252065e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-3,,1.227765e-10,1.257093e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-3,,1.130561e-10,1.353872e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-4,,1.203047e-10,1.222319e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,0,,1.223995e-10,1.327059e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,0,,1.200114e-10,1.300665e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,0,,1.209331e-10,1.291028e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,2,,1.228184e-10,1.283068e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,2,,1.191315e-10,1.277203e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,2,,1.204304e-10,1.300245e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,3,,1.218548e-10,1.334181e-10
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-1,,3.047158e-07,0.004221569
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-1,,2.998289e-07,0.002944735
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-1,,2.330585e-07,0.004511872
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-3,,2.549133e-07,0.00192262
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-3,,2.656578e-07,0.003493654
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-3,,2.258531e-07,0.004335667
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,-4,,2.633351e-07,0.00227457
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,0,,2.544434e-07,0.002145134
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,0,,3.055918e-07,0.005187034
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,0,,2.787125e-07,0.003622514
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,2,,2.901249e-07,0.004256894
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,2,,2.511984e-07,0.004634428
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,2,,2.305046e-07,0.004386544
P184640,D24,GORILLA5,MZMOTE_LULAB_380_500,3,,2.369815e-07,0.004200758
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
