lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,modulation_null_count,modulation_fsr_nm,modulation_mean_abs_dlambda_dv_nm_per_v,modulation_mean_dlambda_dv_nm_per_v,modulation_dlambda_dv_by_null_nm_per_v,modulation_null_wavelengths_0v_nm,modulation_r2_by_null,source_file
HY202103,D23,DCM_LMZO,-1,-1,20190603_204847,MZMOTE_LULAB_380_500,-2.0,2.139364e-07,1.400377e-10,0.004848104,1279.983,1340.0011,6000,-43.01509475708008,-5.99178409576416,-16.931987988471985,37.02331066131592,1335.2582,1300.289,6,3.92736,0.108789,-0.108789,-0.101183;-0.092411;-0.094931;-0.124846;-0.119057;-0.120303,1285.3997;1295.0105;1304.7575;1314.6356;1324.7609;1335.0265,0.936877;0.692673;0.624754;0.957459;0.979120;0.922759,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190603_204847,MZMOTE_LULAB_380_500,-1.5,2.139364e-07,1.400377e-10,0.004848104,1279.9824,1340.0033,6000,-43.065948486328125,-6.0161261558532715,-16.96482583228747,37.04982233047485,1335.1983,1300.2982,6,3.92736,0.108789,-0.108789,-0.101183;-0.092411;-0.094931;-0.124846;-0.119057;-0.120303,1285.3997;1295.0105;1304.7575;1314.6356;1324.7609;1335.0265,0.936877;0.692673;0.624754;0.957459;0.979120;0.922759,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190603_204847,MZMOTE_LULAB_380_500,-1.0,2.139364e-07,1.400377e-10,0.004848104,1279.9838,1340.0062,6000,-43.2137565612793,-6.011805534362793,-16.957088760932287,37.201951026916504,1335.1782,1300.1778,6,3.92736,0.108789,-0.108789,-0.101183;-0.092411;-0.094931;-0.124846;-0.119057;-0.120303,1285.3997;1295.0105;1304.7575;1314.6356;1324.7609;1335.0265,0.936877;0.692673;0.624754;0.957459;0.979120;0.922759,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190603_204847,MZMOTE_LULAB_380_500,-0.5,2.139364e-07,1.400377e-10,0.004848104,1279.9834,1340.0062,6000,-43.306800842285156,-6.013744354248047,-16.985347292979558,37.29305648803711,1335.1047,1300.1772,6,3.92736,0.108789,-0.108789,-0.101183;-0.092411;-0.094931;-0.124846;-0.119057;-0.120303,1285.3997;1295.0105;1304.7575;1314.6356;1324.7609;1335.0265,0.936877;0.692673;0.624754;0.957459;0.979120;0.922759,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190603_204847,MZMOTE_LULAB_380_500,0.0,2.139364e-07,1.400377e-10,0.004848104,1279.9833,1340.0,6000,-43.415077209472656,-6.037792682647705,-17.040449849526087,37.37728452682495,1334.9686,1300.1769,6,3.92736,0.108789,-0.108789,-0.101183;-0.092411;-0.094931;-0.124846;-0.119057;-0.120303,1285.3997;1295.0105;1304.7575;1314.6356;1324.7609;1335.0265,0.936877;0.692673;0.624754;0.957459;0.979120;0.922759,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-1,-1,20190603_204847,MZMOTE_LULAB_380_500,0.5,2.139364e-07,1.400377e-10,0.004848104,1279.9835,1340.0023,6000,-43.22251510620117,-6.034394264221191,-17.00634393596649,37.18812084197998,1334.9881,1299.5664,6,3.92736,0.108789,-0.108789,-0.101183;-0.092411;-0.094931;-0.124846;-0.119057;-0.120303,1285.3997;1295.0105;1304.7575;1314.6356;1324.7609;1335.0265,0.936877;0.692673;0.624754;0.957459;0.979120;0.922759,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-1)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190603_204847,MZMOTE_LULAB_380_500,-2.0,2.206549e-07,1.384038e-10,0.004275683,1279.9834,1339.9991,6000,-44.650230407714844,-6.879927158355713,-18.896637295166652,37.77030324935913,1337.8393,1293.3841,6,4.28437,0.122136,-0.122136,-0.119697;-0.129520;-0.120337;-0.131103;-0.099806;-0.132354,1288.4029;1297.8912;1307.8008;1317.5248;1327.8113;1337.6231,0.938927;0.833677;0.960851;0.992967;0.678977;0.800521,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190603_204847,MZMOTE_LULAB_380_500,-1.5,2.206549e-07,1.384038e-10,0.004275683,1279.9829,1339.9994,6000,-44.68266677856445,-6.859916687011719,-18.89080450018247,37.822750091552734,1337.8288,1293.4146,6,4.28437,0.122136,-0.122136,-0.119697;-0.129520;-0.120337;-0.131103;-0.099806;-0.132354,1288.4029;1297.8912;1307.8008;1317.5248;1327.8113;1337.6231,0.938927;0.833677;0.960851;0.992967;0.678977;0.800521,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190603_204847,MZMOTE_LULAB_380_500,-1.0,2.206549e-07,1.384038e-10,0.004275683,1279.9833,1340.003,6000,-44.77132797241211,-6.88643741607666,-18.88694804604848,37.88489055633545,1337.8187,1293.3727,6,4.28437,0.122136,-0.122136,-0.119697;-0.129520;-0.120337;-0.131103;-0.099806;-0.132354,1288.4029;1297.8912;1307.8008;1317.5248;1327.8113;1337.6231,0.938927;0.833677;0.960851;0.992967;0.678977;0.800521,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
HY202103,D23,DCM_LMZO,-3,-1,20190603_204847,MZMOTE_LULAB_380_500,-0.5,2.206549e-07,1.384038e-10,0.004275683,1279.9831,1340.0031,6000,-44.768123626708984,-6.91957950592041,-18.925082249561946,37.848544120788574,1337.6591,1293.3819,6,4.28437,0.122136,-0.122136,-0.119697;-0.129520;-0.120337;-0.131103;-0.099806;-0.132354,1288.4029;1297.8912;1307.8008;1317.5248;1327.8113;1337.6231,0.938927;0.833677;0.960851;0.992967;0.678977;0.800521,"data\HY202103\D23\20190603_204847\HY202103_D23_(-1,-3)_LION1_DCM_LMZO.xml"
